open,high,low,close,volume
19.17,19,19.1,19.47,3301300.0
19.09,19,18.77,19.08,4223100.0
18.34,19,18.04,18.96,4364300.0
18.98,19,18.98,19.69,7630300.0
20.0,20,19.74,19.84,5555100.0
20.0,20,19.67,20.48,7886500.0
20.31,20,20.31,20.53,6492900.0
20.41,20,20.3,20.39,3837200.0
20.32,20,19.92,20.02,4188900.0
20.08,20,19.77,20.06,3358000.0
20.35,20,20.27,20.5,3372000.0
20.5,20,20.42,20.72,3503300.0
20.52,20,20.26,20.58,3066400.0
20.64,20,20.32,20.5,3089000.0
20.57,20,20.45,20.62,3478800.0
20.72,21,20.64,21.0,4487000.0
21.23,21,20.82,21.14,3676600.0
21.23,21,21.07,21.22,2104100.0
21.53,21,21.34,21.95,5208400.0
21.82,22,21.31,21.4,5540000.0
22.08,23,21.82,22.67,9779400.0
22.76,23,21.65,22.15,9907100.0
22.24,22,21.88,22.01,4642800.0
22.76,22,22.07,22.37,5769000.0
22.38,22,21.82,22.58,13157000.0
22.6,22,21.97,21.97,6029300.0
22.04,22,21.6,22.44,7190700.0
22.6,23,22.57,22.71,19962000.0
22.75,22,22.33,22.68,7127300.0
23.26,23,21.9,22.4,8827100.0
22.53,22,21.95,22.08,6393200.0
22.16,23,22.12,23.21,8462000.0
23.25,23,23.06,23.27,3508100.0
23.26,25,22.5,23.52,40091800.0
24.22,24,23.13,23.31,20087200.0
23.79,23,23.38,23.66,12641900.0
23.73,24,23.32,23.89,13660700.0
24.22,24,24.04,24.4,10080800.0
24.55,24,24.08,24.23,14087400.0
24.29,24,23.91,24.06,11182500.0
24.07,24,23.78,23.99,9920500.0
24.2,24,23.9,24.27,12430500.0
24.45,24,24.0,24.24,9436600.0
24.17,24,23.7,23.81,10785200.0
23.92,24,23.63,23.98,14261600.0
24.12,24,23.45,23.48,4922900.0
23.55,23,23.01,23.04,9149800.0
22.99,22,22.01,22.39,17623800.0
22.38,22,21.69,21.87,16670300.0
22.27,22,21.45,22.35,30725800.0
22.72,22,22.13,22.55,28364700.0
23.95,25,23.4501,24.6,43197268.0
24.54,25,24.41,24.88,18660625.0
25.44,27,25.37,25.99,38843371.0
26.2,26,25.45,25.45,19981824.0
25.61,26,25.5201,26.23,12192421.0
26.63,26,26.35,26.61,13190945.0
26.47,26,25.9501,26.1,11413199.0
25.99,26,25.55,26.23,9994162.0
26.09,26,25.821,26.12,6916497.0
26.16,26,26.14,26.33,8530924.0
26.29,26,26.05,26.18,5403084.0
26.0,26,26.0,26.25,2652974.0
26.12,26,25.975,26.13,4226639.0
25.95,26,24.91,24.94,13227018.0
24.87,25,24.65,24.78,8841369.0
24.74,25,24.63,25.25,7168395.0
25.07,25,25.06,25.36,8998943.0
25.75,26,25.51,26.54,13836062.0
26.62,27,26.6,27.03,11272273.0
27.2,27,26.67,26.905,11288775.0
26.37,27,26.35,27.63,15736891.0
28.24,29,28.2,29.42,26056445.0
29.05,29,28.75,29.35,12824160.0
29.18,29,28.58,28.65,10591701.0
28.75,29,28.71,28.87,10601529.0
28.9,29,28.7,28.84,11192558.0
28.94,29,28.7,29.34,7034698.0
